====================================================
INICIANDO EVALUACIÓN DE PRÁCTICA 3 - METAHEURÍSTICAS
====================================================

>>> Iniciando ejecución y test de rendimiento para: blackbox_modelB.pkl
Generando dataset exploratorio para blackbox_modelB.pkl...

=== Buscando puntos de ambas clases ===

=== INICIANDO ALGORITMO GENÉTICO ===
Generación 295/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6731
Generación 296/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6248
Generación 297/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6449
Generación 298/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6141
Generación 299/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4615
Generación 300/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5444
Generación 301/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6079
Generación 302/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6473
Generación 303/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4433
Generación 304/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6041
Generación 305/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5163
Generación 306/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5190
Generación 307/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4506
Generación 308/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7283
Generación 309/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5264
Generación 310/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5954
Generación 311/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6339
Generación 312/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5239
Generación 313/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4986
Generación 314/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7000
Generación 315/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5865
Generación 316/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6032
Generación 317/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6232
Generación 318/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6553
Generación 319/2000 | Mejor Fitness: 0.9567 | Media Población: 0.4875
Generación 320/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6242
Generación 321/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5773
Generación 322/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7971
Generación 323/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6326
Generación 324/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5885
Generación 325/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6943
Generación 326/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6491
Generación 327/2000 | Mejor Fitness: 0.9567 | Media Población: 0.7485
Generación 328/2000 | Mejor Fitness: 0.9567 | Media Población: 0.6102
Generación 329/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5131
Generación 330/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5021
Generación 331/2000 | Mejor Fitness: 0.9567 | Media Población: 0.5880
Generación 332/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6232
Generación 333/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6553
Generación 334/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6362
Generación 335/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6570
Generación 336/2000 | Mejor Fitness: 0.9617 | Media Población: 0.5108
Generación 337/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6074
Generación 338/2000 | Mejor Fitness: 0.9617 | Media Población: 0.5896
Generación 339/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6046
Generación 340/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6112
Generación 341/2000 | Mejor Fitness: 0.9617 | Media Población: 0.5507
Generación 342/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6568
Generación 343/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6044
Generación 344/2000 | Mejor Fitness: 0.9617 | Media Población: 0.6520
Generación 345/2000 | Mejor Fitness: 0.9617 | Media Población: 0.5873
Generación 346/2000 | Mejor Fitness: 0.9617 | Media Población: 0.4664
Generación 347/2000 | Mejor Fitness: 0.9617 | Media Población: 0.5039
Generación 348/2000 | Mejor Fitness: 0.9617 | Media Población: 0.4007
Generación 349/2000 | Mejor Fitness: 0.9617 | Media Población: 0.7892
Generación 350/2000 | Mejor Fitness: 0.9617 | Media Población: 0.7053
Generación 351/2000 | Mejor Fitness: 0.9617 | Media Población: 0.7046
